year,station_key,station_jp,inner,outer,grad_log
2015,静岡,静岡,12.726392538666255,12.016581980711182,0.7098105579550733
2016,静岡,静岡,12.754061640248013,12.02314556827345,0.7309160719745638
2017,静岡,静岡,12.775008586203313,12.028757466252948,0.7462511199503652
2018,静岡,静岡,12.796705313407116,12.033559088970694,0.7631462244364222
2019,静岡,静岡,12.816052107547309,12.037449016106237,0.778603091441072
2020,静岡,静岡,12.804248475486219,12.026038167718712,0.7782103077675071
2021,静岡,静岡,12.807581392773471,12.027989922781273,0.779591469992198
2022,静岡,静岡,12.8169737309761,12.034028550037082,0.7829451809390182
2023,静岡,静岡,12.827588303854444,12.042872815276377,0.7847154885780672
2024,静岡,静岡,12.847353392671968,12.056728606102686,0.7906247865692819
2025,静岡,静岡,12.878013722184653,12.076607892060121,0.8014058301245317
