year,station_key,station_jp,n_obs_total,mean_of_means,median_of_med
2019,岐阜羽島,岐阜羽島,447,40745.0406504065,43166.666666666664
2019,掛川,掛川,526,111174.52549089733,64800
2019,新大阪,新大阪,1838,764300.4609894188,424000
2019,新富士,新富士,878,76277.37674694012,75166.66666666667
2019,新横浜,新横浜,1520,734615.4684550888,315666.6666666667
2019,東京,東京,4277,6908829.945076822,3695000
2019,浜松,浜松,1609,183975.95676700163,152600
2019,熱海,熱海,397,92566.06731680888,77600
2019,米原,米原,266,58078.89740781308,60683.333333333336
2019,豊橋,豊橋,1107,149584.43930511994,118666.66666666667
2019,静岡,静岡,1868,332124.0066662115,227333.33333333334
2020,三島,三島,995,159103.5396928401,145000
2020,三河安城,三河安城,815,152325.63554067462,153666.66666666666
2020,京都,京都,1912,790005.5556286317,374666.6666666667
2020,名古屋,名古屋,2444,2360205.481563478,811000
2020,品川,品川,2285,2465797.915341495,1433333.3333333333
2020,小田原,小田原,646,178274.81283026544,140333.33333333334
2020,岐阜羽島,岐阜羽島,447,40386.634146341465,42633.333333333336
2020,掛川,掛川,526,108831.10455588321,64300
2020,新大阪,新大阪,1838,820300.2130860882,439666.6666666667
2020,新富士,新富士,878,75386.09196794445,74500
2020,新横浜,新横浜,1520,753196.652124139,319333.3333333333
2020,東京,東京,4261,6614105.807115781,3413333.3333333335
2020,浜松,浜松,1609,180887.81041169105,149733.33333333334
2020,熱海,熱海,397,91859.4988487065,76650
2020,米原,米原,266,57822.42302543507,60250
2020,豊橋,豊橋,1107,150404.12027375383,119000
2020,静岡,静岡,1868,327567.1695000222,222333.33333333334
2021,三島,三島,1012,159713.63772354444,144666.66666666666
2021,三河安城,三河安城,815,154201.6906415344,155000
2021,京都,京都,1929,785448.6499127472,372000
2021,名古屋,名古屋,2444,2473060.2514937287,862333.3333333334
2021,品川,品川,2285,2464163.943388421,1430000
2021,小田原,小田原,646,177280.79208195684,138666.66666666666
2021,岐阜羽島,岐阜羽島,447,40205.154471544716,42200
2021,掛川,掛川,526,107469.4869044425,64083.333333333336
2021,新大阪,新大阪,1838,805561.8476428856,435666.6666666667
2021,新富士,新富士,878,74775.72357132765,74066.66666666667
2021,新横浜,新横浜,1520,772420.1390822752,322666.6666666667
2021,東京,東京,4245,6495949.204277581,3416666.6666666665
2021,浜松,浜松,1609,178146.3991710261,146733.33333333334
2021,熱海,熱海,397,94128.46607070298,77433.33333333333
2021,米原,米原,266,57632.06766459779,60083.333333333336
2021,豊橋,豊橋,1107,151353.30652477243,120000
2021,静岡,静岡,1868,327912.8529534289,220000
2022,三島,三島,1012,160688.55334812417,145000
2022,三河安城,三河安城,815,160720.85813492062,161666.66666666666
2022,京都,京都,1930,889298.420237306,435166.6666666667
2022,名古屋,名古屋,2444,2564478.1473017684,932000
2022,品川,品川,2269,2500698.693133948,1470000
2022,小田原,小田原,646,176598.69189409295,137000
2022,岐阜羽島,岐阜羽島,447,40273.550135501355,42100
2022,掛川,掛川,526,106726.08533714729,64116.666666666664
2022,新大阪,新大阪,1838,806805.6501160379,435000
2022,新富士,新富士,878,74402.79106697079,73700
2022,新横浜,新横浜,1504,797528.5699304661,332333.3333333333
2022,東京,東京,4246,6496039.75236789,3430000
2022,浜松,浜松,1609,178596.47397930987,147433.33333333334
2022,熱海,熱海,397,100996.66531220371,80666.66666666667
2022,米原,米原,266,57490.15455762444,59900
2022,豊橋,豊橋,1107,154086.14131650783,123066.66666666667
2022,静岡,静岡,1868,330311.6842049931,220333.33333333334
2023,三島,三島,1012,162596.03183407287,146333.33333333334
2023,三河安城,三河安城,815,170985.6068121693,173666.66666666666
2023,京都,京都,1946,1352845.4195544873,484000
2023,名古屋,名古屋,2444,2672780.1907329364,999333.3333333333
2023,品川,品川,2269,2630964.8654540707,1546666.6666666667
2023,小田原,小田原,646,178507.85279991123,137666.66666666666
2023,岐阜羽島,岐阜羽島,447,40474.65040650406,42133.333333333336
2023,掛川,掛川,526,106299.13590179081,64250
2023,新大阪,新大阪,1838,857950.9714351628,452666.6666666667
2023,新富士,新富士,862,74144.90439013351,73433.33333333333
2023,新横浜,新横浜,1521,858119.8742094403,341000
2023,東京,東京,4246,6661942.48649424,3553333.3333333335
2023,浜松,浜松,1609,179966.8126548723,149633.33333333334
2023,熱海,熱海,397,108683.82568061767,85200
2023,米原,米原,266,57587.39199221127,59950
2023,豊橋,豊橋,1107,157876.27069459518,127000
2023,静岡,静岡,1868,333878.00148199056,220666.66666666666
2024,三島,三島,1012,165023.5266236386,148333.33333333334
2024,三河安城,三河安城,815,181079.8404431217,181000
2024,京都,京都,1962,1461128.8649817859,515333.3333333333
2024,名古屋,名古屋,2444,2792459.0521673877,1066666.6666666667
2024,品川,品川,2270,2895471.139846868,1716666.6666666667
2024,小田原,小田原,695,182589.06197448832,149833.33333333334
2024,岐阜羽島,岐阜羽島,447,40770.80758807588,42266.666666666664
2024,掛川,掛川,526,106197.9797979798,64383.333333333336
2024,新大阪,新大阪,1838,942692.5447000318,490000
2024,新富士,新富士,862,74158.1599343743,73466.66666666667
2024,新横浜,新横浜,1603,896416.3912544721,448500
2024,東京,東京,4213,7062376.714117386,3896666.6666666665
2024,浜松,浜松,1609,183306.7271962794,152733.33333333334
2024,熱海,熱海,397,117785.06162806448,90333.33333333333
2024,米原,米原,266,58007.61835219667,60316.666666666664
2024,豊橋,豊橋,1107,162170.33806313906,129000
2024,静岡,静岡,1868,340079.52381344663,222666.66666666666
2025,三島,三島,1012,168537.3025077317,150666.66666666666
2025,三河安城,三河安城,799,188951.70115991318,185000
2025,京都,京都,1978,1844852.4683010024,635666.6666666666
2025,名古屋,名古屋,2444,2847446.857340092,1118333.3333333333
2025,品川,品川,2254,3305973.1119887987,1986666.6666666667
2025,小田原,小田原,695,188631.09757598132,154333.33333333334
2025,岐阜羽島,岐阜羽島,447,41086.807588075884,42533.333333333336
2025,掛川,掛川,526,106482.08337057904,64800
2025,新大阪,新大阪,1854,1034438.2450217409,533333.3333333334
2025,新富士,新富士,862,74178.46769631139,73533.33333333333
2025,新横浜,新横浜,1603,961101.918503579,473000
2025,東京,東京,4213,7700448.369500009,4390000
2025,浜松,浜松,1609,188124.53050064994,156500
2025,熱海,熱海,397,130333.2500338616,97133.33333333333
2025,米原,米原,266,58503.60837288547,60883.333333333336
2025,豊橋,豊橋,1107,164854.7922506037,130000
2025,静岡,静岡,1868,350170.9320614419,229000
